City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
614,Sinnamary,GF,78.37,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
622,Santa Marta,CO,77.05,light intensity drizzle,11.2408,-74.199,Hotel La Ballena Azul
623,Pacific Grove,US,76.33,broken clouds,36.6177,-121.9166,Lovers Point Inn
624,Placerville,US,80.78,broken clouds,38.7296,-120.7986,Historic Cary House Hotel
626,Samarai,PG,82.27,scattered clouds,-10.6167,150.6667,Nuli Sapi
627,Indianola,US,88.0,overcast clouds,41.3581,-93.5574,Quality Inn Indianola
628,Nishihara,JP,80.65,overcast clouds,26.1842,127.7558,Minshuku Agaihama
632,Raha,IN,75.09,light rain,26.2333,92.5167,"Greedy, Brainless Rent House ( অহংকাৰী, প‌ইচাখকুৱা ভাড়াঘৰ)"
636,Caucaia,BR,81.03,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
637,Luoyang,CN,75.02,few clouds,34.6836,112.4536,易家国际青年旅舍
641,Jizan,SA,86.94,few clouds,17.3333,42.6667,شهدان. ابوالحجر
644,Abnub,EG,84.42,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
645,Greensburg,US,79.16,broken clouds,40.3015,-79.5389,Courtyard by Marriott Pittsburgh Greensburg
660,Ormond Beach,US,89.1,scattered clouds,29.2858,-81.0559,Makai Beach Lodge
664,Real,PH,81.66,overcast clouds,14.6625,121.6047,Aranda beach resort
667,Digby,CA,76.15,overcast clouds,44.6169,-65.7655,Digby Pines Golf Resort and Spa
672,Catuday,PH,80.8,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
677,Necocli,CO,78.21,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
678,Kismayo,SO,78.57,few clouds,-0.3582,42.5454,Agan-Hotel
680,West Bay,KY,87.87,few clouds,19.3667,-81.4167,Calypso Cove
681,Mayo,US,82.45,broken clouds,38.8876,-76.5119,Resorts Resource Group International
684,Porto Novo,BJ,77.0,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
685,Barhiya,IN,87.42,few clouds,25.2833,86.0333,Barahiya Dharamshala
