City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Avarua,CK,-21.2078,-159.775,82.45,65,75,11.5,broken clouds
80,Vila Velha,BR,-20.3297,-40.2925,71.55,92,100,15.01,overcast clouds
81,Timizart,DZ,36.8,4.2667,69.04,38,11,6.02,few clouds
82,Upernavik,GL,72.7868,-56.1549,30.49,75,91,8.72,overcast clouds
83,Fortuna,US,40.5982,-124.1573,61.14,88,100,13.8,overcast clouds
84,Georgetown,MY,5.4112,100.3354,76.95,99,20,2.3,few clouds
85,Tarko-Sale,RU,64.9225,77.785,60.62,79,83,5.28,broken clouds
86,Talnakh,RU,69.4865,88.3972,60.21,45,99,4.18,overcast clouds
87,Guerrero Negro,MX,27.9769,-114.0611,73.99,59,14,17.36,few clouds
88,Port Alfred,ZA,-33.5906,26.891,78.19,26,100,8.99,overcast clouds
89,Batsfjord,NO,70.6345,29.7185,44.53,70,40,16.11,scattered clouds
90,Ankang,CN,32.68,109.0172,68.45,86,88,0.94,overcast clouds
91,Esperance,AU,-33.8667,121.9,53.44,65,13,29.82,few clouds
92,Bethel,US,41.3712,-73.414,71.02,86,98,6.96,overcast clouds
93,Borzya,RU,50.3833,116.5167,57.09,84,99,7.94,overcast clouds
94,Corinto,GR,37.9407,22.9573,74.41,66,27,3.15,scattered clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,9.22,overcast clouds
96,Iquitos,PE,-3.7481,-73.2472,78.84,69,75,4.61,broken clouds
97,Barabai,ID,-2.5833,115.3833,73.78,96,100,1.25,overcast clouds
98,Qui Nhon,VN,13.7667,109.2333,80.37,78,67,3.2,broken clouds
99,Saint-Philippe,RE,-21.3585,55.7679,69.39,88,82,13.62,light rain
100,Juba,SS,4.8517,31.5825,72.59,69,31,4.0,scattered clouds
101,Hambantota,LK,6.1241,81.1185,80.38,78,90,15.82,overcast clouds
102,Khor,RU,47.8861,134.9464,64.24,65,47,5.37,scattered clouds
103,Zeya,RU,53.75,127.2667,63.39,85,100,3.78,light rain
104,Buraydah,SA,26.326,43.975,90.05,11,0,8.84,clear sky
105,Rundu,NA,-17.9333,19.7667,52.5,58,0,5.41,clear sky
106,Zhezkazgan,KZ,47.8043,67.7144,69.89,40,53,7.67,broken clouds
107,Kavieng,PG,-2.5744,150.7967,82.0,78,80,13.96,moderate rain
108,Hadejia,NG,12.4498,10.0444,86.5,46,22,10.45,few clouds
109,Uyuni,BO,-20.4597,-66.825,36.28,16,0,6.82,clear sky
110,Lindi,TZ,-10.0,39.7167,65.61,93,3,5.3,clear sky
111,Leicester,GB,52.6386,-1.1317,57.52,73,75,10.11,broken clouds
112,Prince Albert,CA,53.2001,-105.7677,75.15,38,100,3.44,overcast clouds
113,Cherskiy,RU,68.75,161.3,66.83,30,29,2.89,scattered clouds
114,Mahebourg,MU,-20.4081,57.7,71.89,88,75,12.66,broken clouds
115,Bagdarin,RU,54.4333,113.6,59.86,43,23,0.65,few clouds
116,Agadez,NE,19.75,10.25,92.77,11,0,11.52,clear sky
117,Orbetello,IT,42.4408,11.2196,71.62,51,0,4.32,clear sky
118,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.64,84,7,5.57,clear sky
119,Bandundu,CD,-3.3167,17.3667,76.55,48,49,3.33,scattered clouds
120,Ukiah,US,39.1502,-123.2078,71.44,65,20,9.22,few clouds
121,Acajutla,SV,13.5928,-89.8275,82.26,74,60,3.56,broken clouds
